Event_Id,Investigation_Type,Accident_Number,Event_Date,Location,Country,Latitude,Longitude,Airport_Code,Airport_Name,Injury_Severity,Aircraft_damage,Aircraft_Category,Registration_Number,Make,Model,Amateur_Built,Number_of_Engines,Engine_Type,FAR_Description,Schedule,Purpose_of_flight,Air_carrier,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,Weather_Condition,Broad_phase_of_flight,Report_Status,Publication_Date,Total_Injuries
20020917X04289,Accident,ATL83AA059,1982-12-11,"SAVANNAH, GA",United States,,,SAV,SAVANNAH MUNICIPAL,Fatal,Destroyed,Airplane,N8001Q,Cessna,421B,No,2.0,Reciprocating,Part 91: General Aviation,,Business,,4,0,0,0,IMC,Go-around,Probable Cause,11-12-1983,4
20020917X05099,Accident,NYC83LA042,1982-12-11,"NEWBURGH, NY",United States,,,SWF,STEWART,Fatal,Substantial,Airplane,N9742T,Cessna,T303,No,2.0,Reciprocating,Part 91: General Aviation,,Instructional,,0,0,0,2,VMC,Takeoff,Probable Cause,11-12-1983,0
20020917X04949,Accident,MIA83LA049,1982-12-11,"OCOEE, FL",United States,,,29X,ORLANDO WEST AIRPORT,Fatal,Substantial,Airplane,N95897,Cessna,182Q,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0,0,0,2,VMC,Landing,Probable Cause,11-12-1983,0
20020917X04484,Accident,CHI83LA058,1982-12-11,"LACON, IL",United States,,,414,MARSHALL CO.,Fatal,Substantial,Airplane,N77340,Piper,PA-24-180,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0,0,0,2,VMC,Takeoff,Probable Cause,11-12-1983,0
20020917X04483,Accident,CHI83LA057,1982-12-11,"KALAMAZOO, MI",United States,,,,,Fatal,Substantial,Airplane,N256B,Colonial,C-1,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0,0,0,1,VMC,Landing,Probable Cause,11-12-1983,0
20020917X04309,Accident,ATL83FA060,1982-12-11,"SUMMERVILLE, WV",United States,,,,,Fatal,Substantial,Airplane,N1621R,Grumman American,AA-1B,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,1,0,0,0,IMC,Cruise,Probable Cause,11-12-1983,1
20020917X05064,Accident,NYC83FA041,1982-12-12,"STARRUCCA, PA",United States,,,,,Fatal,Destroyed,Airplane,N34595,Cessna,177B,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,1,0,0,0,IMC,Cruise,Probable Cause,12-12-1983,1
20020917X04716,Accident,FTW83LA057,1982-12-12,"GRANDFIELD, OK",United States,,,OK02,GRANDFIELD MUNICIPAL,Fatal,Unknown,Airplane,N9317J,Piper,PA-28-180,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,1,0,0,3,VMC,Takeoff,Probable Cause,12-12-1983,1
20020917X04870,Accident,LAX83LA058,1982-12-12,"MERCED, CA",United States,,,MCE,MERCED MUNICIPAL,Fatal,Substantial,Airplane,N4687F,Cessna,206,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0,1,0,0,IMC,Approach,Probable Cause,12-12-1983,1
20020917X04822,Accident,LAX83FUM02,1982-12-12,"RAMONA, CA",United States,,,L39,RAMONA AIRPORT,Fatal,Substantial,Airplane,N38034,Beech,C24R,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0,0,3,0,IMC,Go-around,Probable Cause,12-12-1983,3
